DATE,PAYEMS
1990-01-01,109199
1990-02-01,109435
1990-03-01,109644
1990-04-01,109686
1990-05-01,109839
1990-06-01,109856
1990-07-01,109824
1990-08-01,109616
1990-09-01,109518
1990-10-01,109367
1990-11-01,109214
1990-12-01,109166
1991-01-01,109055
1991-02-01,108734
1991-03-01,108574
1991-04-01,108364
1991-05-01,108249
1991-06-01,108334
1991-07-01,108292
1991-08-01,108310
1991-09-01,108336
1991-10-01,108357
1991-11-01,108296
1991-12-01,108328
1992-01-01,108369
1992-02-01,108311
1992-03-01,108365
1992-04-01,108519
1992-05-01,108649
1992-06-01,108715
1992-07-01,108793
1992-08-01,108925
1992-09-01,108959
1992-10-01,109139
1992-11-01,109272
1992-12-01,109495
1993-01-01,109794
1993-02-01,110044
1993-03-01,109994
1993-04-01,110296
1993-05-01,110568
1993-06-01,110749
1993-07-01,111055
1993-08-01,111206
1993-09-01,111448
1993-10-01,111733
1993-11-01,111984
1993-12-01,112314
1994-01-01,112595
1994-02-01,112781
1994-03-01,113242
1994-04-01,113586
1994-05-01,113921
1994-06-01,114238
1994-07-01,114610
1994-08-01,114896
1994-09-01,115247
1994-10-01,115458
1994-11-01,115869
1994-12-01,116165
1995-01-01,116501
1995-02-01,116697
1995-03-01,116907
1995-04-01,117069
1995-05-01,117049
1995-06-01,117286
1995-07-01,117380
1995-08-01,117634
1995-09-01,117875
1995-10-01,118031
1995-11-01,118175
1995-12-01,118320
1996-01-01,118316
1996-02-01,118739
1996-03-01,118993
1996-04-01,119158
1996-05-01,119486
1996-06-01,119769
1996-07-01,120015
1996-08-01,120199
1996-09-01,120410
1996-10-01,120665
1996-11-01,120961
1996-12-01,121143
1997-01-01,121363
1997-02-01,121675
1997-03-01,121990
1997-04-01,122286
1997-05-01,122546
1997-06-01,122814
1997-07-01,123111
1997-08-01,123093
1997-09-01,123585
1997-10-01,123929
1997-11-01,124235
1997-12-01,124549
1998-01-01,124812
1998-02-01,125016
1998-03-01,125164
1998-04-01,125442
1998-05-01,125844
1998-06-01,126076
1998-07-01,126205
1998-08-01,126544
1998-09-01,126752
1998-10-01,126954
1998-11-01,127231
1998-12-01,127596
1999-01-01,127702
1999-02-01,128120
1999-03-01,128227
1999-04-01,128597
1999-05-01,128808
1999-06-01,129089
1999-07-01,129414
1999-08-01,129569
1999-09-01,129772
1999-10-01,130177
1999-11-01,130466
1999-12-01,130772
2000-01-01,131005
2000-02-01,131124
2000-03-01,131596
2000-04-01,131888
2000-05-01,132105
2000-06-01,132061
2000-07-01,132236
2000-08-01,132230
2000-09-01,132353
2000-10-01,132351
2000-11-01,132556
2000-12-01,132709
2001-01-01,132698
2001-02-01,132789
2001-03-01,132747
2001-04-01,132463
2001-05-01,132410
2001-06-01,132299
2001-07-01,132177
2001-08-01,132028
2001-09-01,131771
2001-10-01,131454
2001-11-01,131142
2001-12-01,130982
2002-01-01,130852
2002-02-01,130736
2002-03-01,130717
2002-04-01,130623
2002-05-01,130634
2002-06-01,130684
2002-07-01,130590
2002-08-01,130587
2002-09-01,130501
2002-10-01,130628
2002-11-01,130615
2002-12-01,130472
2003-01-01,130580
2003-02-01,130444
2003-03-01,130232
2003-04-01,130177
2003-05-01,130196
2003-06-01,130194
2003-07-01,130191
2003-08-01,130149
2003-09-01,130254
2003-10-01,130454
2003-11-01,130474
2003-12-01,130588
2004-01-01,130769
2004-02-01,130825
2004-03-01,131142
2004-04-01,131411
2004-05-01,131694
2004-06-01,131793
2004-07-01,131848
2004-08-01,131937
2004-09-01,132093
2004-10-01,132447
2004-11-01,132503
2004-12-01,132624
2005-01-01,132774
2005-02-01,133032
2005-03-01,133156
2005-04-01,133518
2005-05-01,133690
2005-06-01,133942
2005-07-01,134296
2005-08-01,134498
2005-09-01,134566
2005-10-01,134655
2005-11-01,134993
2005-12-01,135149
2006-01-01,135429
2006-02-01,135737
2006-03-01,136047
2006-04-01,136205
2006-05-01,136244
2006-06-01,136325
2006-07-01,136520
2006-08-01,136694
2006-09-01,136843
2006-10-01,136852
2006-11-01,137063
2006-12-01,137249
2007-01-01,137477
2007-02-01,137558
2007-03-01,137793
2007-04-01,137842
2007-05-01,137993
2007-06-01,138069
2007-07-01,138038
2007-08-01,138015
2007-09-01,138095
2007-10-01,138174
2007-11-01,138284
2007-12-01,138392
2008-01-01,138403
2008-02-01,138324
2008-03-01,138275
2008-04-01,138035
2008-05-01,137858
2008-06-01,137687
2008-07-01,137491
2008-08-01,137213
2008-09-01,136753
2008-10-01,136272
2008-11-01,135545
2008-12-01,134839
2009-01-01,134055
2009-02-01,133312
2009-03-01,132512
2009-04-01,131817
2009-05-01,131475
2009-06-01,131008
2009-07-01,130668
2009-08-01,130485
2009-09-01,130244
2009-10-01,130045
2009-11-01,130057
2009-12-01,129788
2010-01-01,129790
2010-02-01,129698
2010-03-01,129879
2010-04-01,130110
2010-05-01,130650
